,POPULATION,ZIPCODE,Id2,disability_r,edu_high_r,edu_low_r,employment_r,hh,hh_with6_r,utility_gas_r,tank_gas_r,electricity_r,fueloil_r,coal_r,other_fuels_r,occupied_hu_own_r,occupied_hu_rent_r,built_before1980_r,married_r,non_eng_r,below_poverty_r,pop,male_pop_r,female_pop_r,elder_pop_r,white_r,black_r,asian_r,native_r,towork_less30_r,towork_over30_r
160,11776.0,11004,11004,0.11,0.397,0.294,0.567,4862.0,0.00456602221308,0.631,0.015,0.041,0.292,0.0,0.015,0.768202385849,0.231797614151,0.946,0.489,0.421,0.076,13778.0,0.455436202642,0.544563797358,0.00134272027871,0.498330672086,0.0778051966904,0.352663666715,0.00457250689505,0.430187509685,0.569812490315
161,2349.0,11040,11040,0.091,0.453,0.237,0.598,12945.0,0.00136732329085,0.682,0.012,0.03,0.27,0.0,0.006,0.89370413287,0.10629586713,0.943,0.595,0.466,0.032,41434.0,0.483129796785,0.516870203215,0.00044649321813,0.554279094463,0.0106434329295,0.361514698074,0.0024376116233,0.431904420059,0.568095579941
162,20050.0,11426,11426,0.089,0.358,0.307,0.596,6191.0,0.00408657728961,0.706,0.011,0.029,0.241,0.0,0.013,0.758681957681,0.241318042319,0.947,0.592,0.561,0.098,19842.0,0.49425461143,0.50574538857,0.000740852736619,0.466233242617,0.0286261465578,0.418254208245,0.000907166616269,0.421238158185,0.578761841815
163,40528.0,11365,11365,0.088,0.355,0.247,0.548,15764.0,0.00152879979701,0.648,0.029,0.11,0.2,0.0,0.01,0.472215173814,0.527784826186,0.868,0.558,0.634,0.14,45041.0,0.472303012811,0.527696987189,0.000328589507338,0.347683221953,0.0665615772296,0.447059345929,0.00388534890433,0.320569517851,0.679430482149
164,3944.0,11001,11001,0.092,0.445,0.242,0.63,9131.0,0.00245318146972,0.699,0.011,0.025,0.259,0.001,0.004,0.799255284197,0.200744715803,0.966,0.57,0.262,0.031,27551.0,0.488693695329,0.511306304671,0.000562593009328,0.71373089906,0.0542630031578,0.155892708069,0.0026859279155,0.42482821113,0.57517178887
165,68555.0,11375,11375,0.106,0.579,0.163,0.613,32272.0,0.00114960337134,0.515,0.021,0.085,0.348,0.0,0.015,0.498016856718,0.501983143282,0.941,0.523,0.563,0.085,70723.0,0.473212392008,0.526787607992,0.000264411860357,0.627575187704,0.0341473070995,0.264369441342,0.0044539965782,0.22886585762,0.77113414238
166,21942.0,11427,11427,0.098,0.319,0.292,0.553,7739.0,0.00317870525908,0.77,0.012,0.02,0.185,0.0,0.006,0.582116552526,0.417883447474,0.938,0.512,0.486,0.087,23568.0,0.472886965377,0.527113034623,0.000623727087576,0.275882552614,0.256958587916,0.31877970129,0.00437033265445,0.319502868069,0.680497131931
167,42755.0,11374,11374,0.122,0.48,0.201,0.583,19483.0,0.00159113072935,0.713,0.02,0.049,0.189,0.0,0.016,0.349843453267,0.650156546733,0.924,0.485,0.683,0.15,43399.0,0.476992557432,0.523007442568,0.000428581303717,0.596718818406,0.0335030761077,0.272310421899,0.00235028456877,0.240945035634,0.759054964366
168,13168.0,11366,11366,0.084,0.478,0.214,0.563,4191.0,0.00496301598664,0.756,0.026,0.038,0.178,0.0,0.002,0.716774039609,0.283225960391,0.91,0.559,0.639,0.133,13192.0,0.473620375985,0.526379624015,0.00114463311098,0.458383869012,0.0556397816859,0.43609763493,0.0013644633111,0.359879922303,0.640120077697
169,30243.0,11423,11423,0.114,0.269,0.27,0.59,9793.0,0.00217502297559,0.795,0.006,0.047,0.14,0.0,0.007,0.59654855509,0.40345144491,0.907,0.455,0.365,0.099,31982.0,0.481520855481,0.518479144519,0.000443999749859,0.158120192608,0.37267838159,0.262460133825,0.0212932274404,0.275107411386,0.724892588614
170,18818.0,11428,11428,0.079,0.2,0.354,0.578,5620.0,0.00284697508897,0.801,0.012,0.023,0.162,0.0,0.002,0.655338078292,0.344661921708,0.958,0.532,0.475,0.124,19744.0,0.48181726094,0.51818273906,0.00061790923825,0.222194084279,0.184410453809,0.295836709887,0.00744529983793,0.294929361516,0.705070638484
171,62075.0,11432,11432,0.082,0.347,0.22,0.549,18362.0,0.0012798170134,0.753,0.017,0.059,0.149,0.0,0.014,0.361017318375,0.638982681625,0.868,0.451,0.678,0.199,63533.0,0.475091684636,0.524908315364,0.000204618072498,0.225803912927,0.154880141029,0.417924543151,0.00580800528859,0.255213908678,0.744786091322
172,35428.0,11379,11379,0.091,0.314,0.312,0.563,13528.0,0.00164843287995,0.855,0.019,0.036,0.081,0.0,0.003,0.593583678297,0.406416321703,0.918,0.52,0.424,0.098,35476.0,0.472347502537,0.527652497463,0.000527116924118,0.84485285827,0.0146296087496,0.0804205660165,0.000845642124253,0.293786018542,0.706213981458
173,25116.0,11429,11429,0.104,0.202,0.327,0.563,7318.0,0.001516807871,0.802,0.019,0.028,0.149,0.002,0.001,0.708800218639,0.291199781361,0.952,0.365,0.344,0.117,26362.0,0.482664441241,0.517335558759,0.0004893407177,0.0466580684318,0.798573704575,0.0298915105075,0.00462787345421,0.206078514141,0.793921485859
174,53404.0,11435,11435,0.1,0.281,0.261,0.59,18486.0,0.00139565076274,0.781,0.025,0.046,0.128,0.002,0.008,0.34793898085,0.65206101915,0.856,0.446,0.548,0.186,55323.0,0.497514596099,0.502485403901,0.000193409612639,0.21965547783,0.230537027999,0.22240297887,0.00262097138622,0.203384506655,0.796615493345
175,18990.0,11415,11415,0.085,0.462,0.182,0.656,8250.0,0.00410909090909,0.468,0.019,0.059,0.432,0.0,0.013,0.369212121212,0.630787878788,0.927,0.465,0.538,0.104,19403.0,0.460856568572,0.539143431428,0.000742153275267,0.605834149358,0.07648301809,0.183116012988,0.00273153636036,0.249190600522,0.750809399478
176,36607.0,11418,11418,0.099,0.257,0.276,0.579,11371.0,0.00167091724562,0.766,0.015,0.023,0.182,0.004,0.004,0.421598803975,0.578401196025,0.942,0.489,0.606,0.165,39308.0,0.491248600794,0.508751399206,0.000244225094128,0.359774091788,0.0813574844815,0.256487229063,0.00839523761066,0.244106644499,0.755893355501
177,33679.0,11433,11433,0.11,0.167,0.332,0.529,10394.0,0.00102944006157,0.769,0.009,0.085,0.131,0.0,0.003,0.421396959784,0.578603040216,0.732,0.316,0.249,0.218,34111.0,0.46477675823,0.53522324177,0.000331271437366,0.0367623347307,0.698425727771,0.0622966198587,0.00630295212688,0.241959836932,0.758040163068
178,0.0,11451,11451,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
